id,ident,type,name,latitude,longitude,elevation_ft,iso_region,city,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26788,WARQ,small_airport,Adi Sumarmo Wiryokusumo Airport,-7.516089916,110.7570038,421,ID-JT,Sukarata(Solo)-Java Island,1,WARQ,SOC,,,http://en.wikipedia.org/wiki/Adisumarmo_International_Airport,WRSQ,450,2008-08-22T18:34:21+00:00
26824,WICC,medium_airport,Husein Sastranegara International Airport,-6.900629997,107.5759964,2436,ID-JB,Bandung-Java Island,1,WICC,BDO,,,http://en.wikipedia.org/wiki/Husein_Sastranegara_International_Airport,WIIB,875,2008-08-22T18:34:56+00:00
26828,WIDD,medium_airport,Hang Nadim International Airport,1.121029973,104.1190033,126,ID-RI,Batam Island,1,WIDD,BTH,,,http://en.wikipedia.org/wiki/Hang_Nadim_Airport,WIKB,875,2014-12-01T04:35:24+00:00
26749,WADA,small_airport,Selaparang Airport,-8.560709953,116.0950012,52,ID-NB,Mataram-Lombok Island,0,WADA,AMI,,,http://en.wikipedia.org/wiki/Selaparang_Airport,WRRA,450,2012-08-31T00:36:42+00:00
26821,WIBB,medium_airport,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,0.460786015,101.4449997,102,ID-RI,Pekanbaru-Sumatra Island,1,WIBB,PKU,,,http://en.wikipedia.org/wiki/Sultan_Syarif_Qasim_II_International_Airport,,925,2008-08-22T18:34:49+00:00
26760,WALL,small_airport,Sultan Aji Muhamad Sulaiman Airport,-1.268270016,116.8939972,12,ID-KI,Kotamadya Balikpapan,1,WALL,BPN,,http://sepinggan-airport.com/,http://en.wikipedia.org/wiki/Sultan_Aji_Muhamad_Sulaiman_Airport,"WRLL, Balikpapan Airport",800,2015-02-15T12:12:48+00:00
26746,WABB,medium_airport,Frans Kaisiepo Airport,-1.190019965,136.1080017,46,ID-PA,Biak-Supiori Island,1,WABB,BIK,,,http://en.wikipedia.org/wiki/Frans_Kaisiepo_Airport,,1050,2008-08-22T18:33:04+00:00
26755,WAJJ,medium_airport,Sentani Airport,-2.576950073,140.5160065,289,ID-PA,Jayapura-Papua Island,1,WAJJ,DJJ,,,http://en.wikipedia.org/wiki/Sentani_Airport,,1025,2008-08-22T18:33:14+00:00
26862,WITT,medium_airport,Sultan Iskandar Muda International Airport,5.522872024,95.42063713,65,ID-AC,Banda Aceh,1,WITT,BTJ,,,http://en.wikipedia.org/wiki/Sultan_Iskandar_Muda_International_Airport,WIAB,925,2013-09-06T04:22:40+00:00
26756,WAJW,medium_airport,Wamena Airport,-4.10251,138.957001,5085,ID-PA,Wamena-Papua Island,1,WAJW,WMX,,,https://en.wikipedia.org/wiki/Wamena_Airport,,550,2018-09-15T16:20:45+00:00
309577,WIMM,large_airport,Kualanamu International Airport,3.642222,98.885278,23,ID-SU,,0,WIMM,KNO,,http://www.kualanamu-airport.co.id/,https://en.wikipedia.org/wiki/Kualanamu_International_Airport,,0,2016-05-31T10:27:35+00:00
26858,WIPT,medium_airport,Minangkabau International Airport,-0.786917,100.280998,18,ID-SB,Ketaping/Padang - Sumatra Island,1,WIEE,PDG,,http://minangkabau-airport.co.id/en/general/about-us,http://en.wikipedia.org/wiki/Minangkabau_International_Airport,,975,2018-05-05T15:20:29+00:00
26748,WABP,medium_airport,Moses Kilangin Airport,-4.528279781,136.8869934,103,ID-PA,Timika-Papua Island,1,WABP,TIM,,,http://en.wikipedia.org/wiki/Timika_Airport,,825,2008-08-22T18:33:08+00:00
26833,WIHL,medium_airport,Tunggul Wulung Airport,-7.645060062,109.0339966,69,ID-JT,Cilacap-Java Island,1,WIHL,CXP,,,http://en.wikipedia.org/wiki/Tunggul_Wulung_Airport,WIIL,550,2012-08-30T23:00:46+00:00
26801,WATT,small_airport,El Tari Airport,-10.17160034,123.6709976,335,ID-NT,Kupang-Timor Island,1,WATT,KOE,,,http://en.wikipedia.org/wiki/El_Tari_Airport,WRKK,450,2009-06-27T22:07:32+00:00
26784,WAPP,medium_airport,"Pattimura Airport, Ambon",-3.710259914,128.0890045,33,ID-MA,Ambon,1,WAPP,AMQ,,,http://en.wikipedia.org/wiki/Pattimura_Airport,,800,2014-08-17T23:51:04+00:00
26794,WASR,medium_airport,Rendani Airport,-0.891833007,134.048996,23,ID-PB,Manokwari-Papua Island,1,WASR,MKW,,,http://en.wikipedia.org/wiki/Rendani_Airport,,800,2008-08-22T18:34:36+00:00
26836,WIMB,medium_airport,Binaka Airport,1.16638,97.704697,20,ID-SU,Gunung Sitoli-Nias Island,1,WIMB,GNS,,,https://en.wikipedia.org/wiki/Binaka_Airport,,550,2018-09-16T04:11:44+00:00
26827,WIAT,medium_airport,Radin Inten II (Branti) Airport,-5.240556,105.175556,282,ID-LA,Bandar Lampung-Sumatra Island,1,WICT,TKG,,,http://en.wikipedia.org/wiki/Radin_Inten_II_Airport,WIIT,450,2012-11-05T08:38:20+00:00
26850,WIPA,small_airport,Sultan Thaha Airport,-1.638020039,103.6439972,82,ID-JA,Jambi-Sumatra Island,1,WIPA,DJB,,,http://en.wikipedia.org/wiki/Sultan_Thaha_Airport,,450,2008-08-22T18:35:16+00:00
26800,WATO,small_airport,Komodo Airport,-8.48666,119.889,66,ID-NT,Labuan Bajo - Flores Island,1,WATO,LBJ,,,http://en.wikipedia.org/wiki/Komodo_Airport,"Mutiara II Airport, WRKO",350,2018-05-05T15:18:51+00:00
32634,WAXX,large_airport,Dominique Edward Osok Airport,-0.894,131.287,10,ID-PB,Sorong-Papua Island,1,WASS,SOQ,,,http://en.wikipedia.org/wiki/Dominique_Edward_Osok_Airport,WAXX,50,2015-06-14T15:18:14+00:00
26847,WIOO,medium_airport,Supadio Airport,-0.150711,109.4039993,10,ID-KB,Pontianak-Borneo Island,1,WIOO,PNK,,,http://en.wikipedia.org/wiki/Supadio_Airport,,925,2008-08-22T18:35:16+00:00
26757,WAKK,medium_airport,Mopah Airport,-8.520290375,140.4179993,10,ID-PA,Merauke-Papua Island,1,WAKK,MKQ,,,http://en.wikipedia.org/wiki/Mopah_Airport,,800,2008-08-22T18:33:23+00:00
26769,WAML,medium_airport,Mutiara Airport,-0.918542027,119.9100037,284,ID-ST,Palu-Celebes Island,1,WAML,PLW,,,http://en.wikipedia.org/wiki/Mutiara_Airport,,800,2008-08-22T18:33:48+00:00
26747,WABI,medium_airport,Nabire Airport,-3.36818,135.496002,20,ID-PA,Nabire-Papua Island,1,WABI,NBX,,,https://en.wikipedia.org/wiki/Nabire_Airport,,550,2018-09-15T16:22:30+00:00
26779,WAOO,small_airport,Syamsudin Noor Airport,-3.442359924,114.7630005,66,ID-KS,Banjarmasin-Borneo Island,1,WAOO,BDJ,,,http://en.wikipedia.org/wiki/Syamsudin_Noor_Airport,WRBB,450,2008-08-22T18:34:00+00:00
